AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,IsSingleNode,label,name,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
1.75,0,0.571428571,0.333333333,3,3,1,FALSE,g12376,g12376,4.333333333,2,0,FALSE,0,g12376,0
0,0,0,0.166666667,0,3,3,FALSE,Cre07.g337000,Cre07.g337000,4,0,0,FALSE,0,Cre07.g337000,0
0,0,0,0,0,1,1,FALSE,"Cre06.g292950,PRI2","Cre06.g292950,PRI2",6,0,0,FALSE,0,"Cre06.g292950,PRI2",0
0,0,0,0,0,1,1,FALSE,Cre07.g340000,Cre07.g340000,31,0,0,FALSE,0,Cre07.g340000,0
1.333333333,0,0.75,0.333333333,2,3,1,FALSE,g9832,g9832,11,2,0,FALSE,0,g9832,0
2.1,0.090920446,0.476190476,0.166666667,4,4,1,FALSE,Cre07.g316000,Cre07.g316000,34.75,3,0,FALSE,0,Cre07.g316000,107205283
0,0,0,0,0,1,1,FALSE,Cre01.g055550,Cre01.g055550,2,0,0,FALSE,0,Cre01.g055550,0
1.5,0,0.666666667,0,2,1,0,FALSE,"Cre17.g726700,g17571","Cre17.g726700,g17571",8,1,0,FALSE,0,"Cre17.g726700,g17571",0
1.5,0,0.666666667,0,2,1,0,FALSE,Cre02.g076900,Cre02.g076900,3,1,0,FALSE,0,Cre02.g076900,0
2.857142857,0,0.35,0,4,2,0,FALSE,Cre02.g116050,Cre02.g116050,30.5,2,0,FALSE,0,Cre02.g116050,0
0,0,0,0,0,1,1,FALSE,Cre10.g431500,Cre10.g431500,5,0,0,FALSE,0,Cre10.g431500,0
1.5,0,0.666666667,0,2,1,0,FALSE,g5052,g5052,7,1,0,FALSE,0,g5052,0
1.5,8.72E-04,0.666666667,0.1,2,5,3,FALSE,g10273,g10273,5.8,2,0,FALSE,0,g10273,83748
0,0,0,0.133333333,0,6,6,FALSE,g18256,g18256,15.66666667,0,0,FALSE,0,g18256,0
0,0,0,0,0,2,2,FALSE,Cre03.g193550,Cre03.g193550,2.5,0,0,FALSE,0,Cre03.g193550,0
1,0,1,0,1,1,0,FALSE,Cre06.g259750,Cre06.g259750,2,1,0,FALSE,0,Cre06.g259750,0
1,0,1,0,1,1,0,FALSE,Cre02.g085300,Cre02.g085300,2,1,0,FALSE,0,Cre02.g085300,0
1,0,1,0,1,1,0,FALSE,Cre03.g159750,Cre03.g159750,2,1,0,FALSE,0,Cre03.g159750,0
1,0.018502548,1,0,1,4,3,FALSE,Cre06.g282150,Cre06.g282150,7.5,1,0,FALSE,0,Cre06.g282150,15622523
0,0,0,0,0,1,1,FALSE,"ALK5,g9827","ALK5,g9827",3,0,0,FALSE,0,"ALK5,g9827",0
1.666666667,0,0.6,0,2,1,0,FALSE,Cre01.g043750,Cre01.g043750,16,1,0,FALSE,0,Cre01.g043750,0
1.6,0,0.625,0,2,2,0,FALSE,Cre14.g618500,Cre14.g618500,6,2,0,FALSE,0,Cre14.g618500,0
0,0,0,0,0,1,1,FALSE,g13913,g13913,2,0,0,FALSE,0,g13913,0
1.333333333,0,0.75,0,2,2,0,FALSE,Cre05.g245450,Cre05.g245450,12.5,2,0,FALSE,0,Cre05.g245450,0
0,0,0,0,0,2,2,FALSE,Cre03.g173700,Cre03.g173700,13,0,0,FALSE,0,Cre03.g173700,0
1,0,1,0,1,1,0,FALSE,Cre17.g704100,Cre17.g704100,2,1,0,FALSE,0,Cre17.g704100,0
1.5,0,0.666666667,0.5,2,2,1,FALSE,Cre13.g587650,Cre13.g587650,17,1,0,FALSE,0,Cre13.g587650,0
2.604651163,0,0.383928571,0,5,2,0,FALSE,Cre16.g651100,Cre16.g651100,97.5,2,0,FALSE,0,Cre16.g651100,0
3.363636364,0,0.297297297,0.5,5,2,1,FALSE,g10338,g10338,71.5,1,0,FALSE,0,g10338,0
1,0.191217515,1,0,1,2,1,FALSE,Cre06.g262950,Cre06.g262950,6,1,0,FALSE,0,Cre06.g262950,1008024830
1,0,1,0,1,1,0,FALSE,Cre17.g716100,Cre17.g716100,14,1,0,FALSE,0,Cre17.g716100,0
0,0,0,0,0,1,1,FALSE,Cre03.g161900,Cre03.g161900,10,0,0,FALSE,0,Cre03.g161900,0
1,0,1,0,1,1,0,FALSE,Cre12.g483600,Cre12.g483600,4,1,0,FALSE,0,Cre12.g483600,0
1,0,1,0,1,1,0,FALSE,Cre12.g500000,Cre12.g500000,2,1,0,FALSE,0,Cre12.g500000,0
0,0,0,0,0,1,1,FALSE,Cre02.g108250,Cre02.g108250,5,0,0,FALSE,0,Cre02.g108250,0
0,0,0,0,0,1,1,FALSE,Cre10.g422650,Cre10.g422650,5,0,0,FALSE,0,Cre10.g422650,0
5.35,0,0.186915888,0.5,10,2,0,FALSE,g14484,g14484,85.5,2,0,FALSE,0,g14484,0
1,0,1,0,1,1,0,FALSE,Cre16.g694400,Cre16.g694400,2,1,0,FALSE,0,Cre16.g694400,0
1.333333333,0,0.75,0.5,2,3,1,FALSE,g12802,g12802,7,2,0,FALSE,0,g12802,0
0,0,0,0,0,1,1,FALSE,"Cre14.g630200,g15177","Cre14.g630200,g15177",4,0,0,FALSE,0,"Cre14.g630200,g15177",0
0,0,0,0,0,1,1,FALSE,g4746,g4746,14,0,0,FALSE,0,g4746,0
1,0,1,0,1,1,0,FALSE,"Cre07.g346450,g8062","Cre07.g346450,g8062",2,1,0,FALSE,0,"Cre07.g346450,g8062",0
2.7890625,0.035950517,0.358543417,0,7,3,1,FALSE,g6254,g6254,69.33333333,2,0,FALSE,0,g6254,9037823
1,0,1,0.5,1,2,1,FALSE,Cre02.g112100,Cre02.g112100,10,1,0,FALSE,0,Cre02.g112100,0
0,0,0,0,0,1,1,FALSE,Cre06.g279750,Cre06.g279750,6,0,0,FALSE,0,Cre06.g279750,0
3.5,0,0.285714286,0,6,1,0,FALSE,"Cre06.g302500,g7005","Cre06.g302500,g7005",27,1,0,FALSE,0,"Cre06.g302500,g7005",0
1,3.99E-04,1,0,1,2,1,FALSE,Cre12.g543850,Cre12.g543850,4,1,0,FALSE,0,Cre12.g543850,28433
0,0,0,0,0,1,1,FALSE,Cre02.g112000,Cre02.g112000,3,0,0,FALSE,0,Cre02.g112000,0
0,0,0,0.5,0,2,2,FALSE,Cre01.g046150,Cre01.g046150,17.5,0,0,FALSE,0,Cre01.g046150,0
